Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	Result(algorithm=entropy1, size=200, topics=13, minScore=0.95, tp=9934, tn=30050, fp=0, fn=16, precision=1.0, recall=0.998391959798995, clusters=6, totalSimilarities=40000, calculatedSimilarities=30502, minimumSimilarities=9950, time=36)
Result(algorithm=entropy2, size=200, topics=13, minScore=0.95, tp=2876, tn=30050, fp=0, fn=7074, precision=1.0, recall=0.28904522613065325, clusters=21, totalSimilarities=40000, calculatedSimilarities=7394, minimumSimilarities=9950, time=4)
Result(algorithm=entropy3, size=200, topics=13, minScore=0.95, tp=774, tn=30050, fp=0, fn=9176, precision=1.0, recall=0.0777889447236181, clusters=54, totalSimilarities=40000, calculatedSimilarities=2274, minimumSimilarities=9950, time=2)
Result(algorithm=kmeans, size=200, topics=13, minScore=0.95, tp=9852, tn=30050, fp=0, fn=98, precision=1.0, recall=0.9901507537688442, clusters=13, totalSimilarities=40000, calculatedSimilarities=13064, minimumSimilarities=9950, time=33)
Result(algorithm=gradient, size=200, topics=13, minScore=0.95, tp=9028, tn=30050, fp=0, fn=922, precision=1.0, recall=0.9073366834170854, clusters=10, totalSimilarities=40000, calculatedSimilarities=20102, minimumSimilarities=9950, time=4)

300	Result(algorithm=entropy1, size=300, topics=13, minScore=0.95, tp=21738, tn=68174, fp=0, fn=88, precision=1.0, recall=0.9959681114267388, clusters=6, totalSimilarities=90000, calculatedSimilarities=69660, minimumSimilarities=21826, time=2)
Result(algorithm=entropy2, size=300, topics=13, minScore=0.95, tp=6604, tn=68174, fp=0, fn=15222, precision=1.0, recall=0.3025749106570146, clusters=21, totalSimilarities=90000, calculatedSimilarities=16868, minimumSimilarities=21826, time=1)
Result(algorithm=entropy3, size=300, topics=13, minScore=0.95, tp=1686, tn=68174, fp=0, fn=20140, precision=1.0, recall=0.07724731971043709, clusters=63, totalSimilarities=90000, calculatedSimilarities=4674, minimumSimilarities=21826, time=1)
Result(algorithm=kmeans, size=300, topics=13, minScore=0.95, tp=21654, tn=68174, fp=0, fn=172, precision=1.0, recall=0.9921194905158984, clusters=13, totalSimilarities=90000, calculatedSimilarities=33306, minimumSimilarities=21826, time=35)
Result(algorithm=gradient, size=300, topics=13, minScore=0.95, tp=20394, tn=68174, fp=0, fn=1432, precision=1.0, recall=0.9343901768532943, clusters=10, totalSimilarities=90000, calculatedSimilarities=47524, minimumSimilarities=21826, time=1)

400	Result(algorithm=entropy1, size=400, topics=13, minScore=0.95, tp=41114, tn=118746, fp=0, fn=140, precision=1.0, recall=0.9966063896834246, clusters=6, totalSimilarities=160000, calculatedSimilarities=122736, minimumSimilarities=41254, time=1)
