Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
200	Result(algorithm=dbscan-10, size=200, topics=44, minScore=0.83, tp=3772, tn=36202, fp=0, fn=26, precision=1.0, recall=0.9931542917324908, clusters=3, totalSimilarities=40000, calculatedSimilarities=19826, minimumSimilarities=3798, time=125)
Result(algorithm=dbscan-100, size=200, topics=44, minScore=0.83, tp=3798, tn=36202, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=40000, calculatedSimilarities=40002, minimumSimilarities=3798, time=116)
Result(algorithm=dbscan-200, size=200, topics=44, minScore=0.83, tp=3798, tn=36202, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=40000, calculatedSimilarities=40001, minimumSimilarities=3798, time=111)
Result(algorithm=dbscan-50, size=200, topics=44, minScore=0.83, tp=3798, tn=36202, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=40000, calculatedSimilarities=40004, minimumSimilarities=3798, time=114)
Result(algorithm=entropy-1, size=200, topics=44, minScore=0.83, tp=3628, tn=36202, fp=0, fn=170, precision=1.0, recall=0.9552395997893628, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=3798, time=18)
Result(algorithm=entropy-2, size=200, topics=44, minScore=0.83, tp=1630, tn=36202, fp=0, fn=2168, precision=1.0, recall=0.4291732490784623, clusters=31, totalSimilarities=40000, calculatedSimilarities=2928, minimumSimilarities=3798, time=2)
Result(algorithm=entropy-3, size=200, topics=44, minScore=0.83, tp=1426, tn=36202, fp=0, fn=2372, precision=1.0, recall=0.37546076882569773, clusters=50, totalSimilarities=40000, calculatedSimilarities=2198, minimumSimilarities=3798, time=2)
Result(algorithm=gradient, size=200, topics=44, minScore=0.83, tp=3098, tn=36202, fp=0, fn=700, precision=1.0, recall=0.8156924697209057, clusters=25, totalSimilarities=40000, calculatedSimilarities=7632, minimumSimilarities=3798, time=5)
Result(algorithm=hentropy-100, size=200, topics=44, minScore=0.83, tp=3628, tn=36202, fp=0, fn=170, precision=1.0, recall=0.9552395997893628, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=3798, time=6)
Result(algorithm=hentropy-200, size=200, topics=44, minScore=0.83, tp=3628, tn=36202, fp=0, fn=170, precision=1.0, recall=0.9552395997893628, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=3798, time=2)
Result(algorithm=hentropy-300, size=200, topics=44, minScore=0.83, tp=3628, tn=36202, fp=0, fn=170, precision=1.0, recall=0.9552395997893628, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=3798, time=1)
Result(algorithm=kmeans-100, size=200, topics=44, minScore=0.83, tp=2306, tn=36202, fp=0, fn=1492, precision=1.0, recall=0.607161664033702, clusters=44, totalSimilarities=40000, calculatedSimilarities=882562, minimumSimilarities=3798, time=107)
Result(algorithm=kmeans-20, size=200, topics=44, minScore=0.83, tp=2332, tn=36202, fp=0, fn=1466, precision=1.0, recall=0.6140073723012112, clusters=44, totalSimilarities=40000, calculatedSimilarities=178614, minimumSimilarities=3798, time=141)
Result(algorithm=kmeans-50, size=200, topics=44, minScore=0.83, tp=2680, tn=36202, fp=0, fn=1118, precision=1.0, recall=0.7056345444971037, clusters=44, totalSimilarities=40000, calculatedSimilarities=442946, minimumSimilarities=3798, time=112)
Result(algorithm=random, size=200, topics=44, minScore=0.83, tp=72, tn=36202, fp=0, fn=3726, precision=1.0, recall=0.018957345971563982, clusters=44, totalSimilarities=40000, calculatedSimilarities=942, minimumSimilarities=3798, time=3)

300	Result(algorithm=dbscan-10, size=300, topics=44, minScore=0.83, tp=7996, tn=81978, fp=0, fn=26, precision=1.0, recall=0.9967589129892794, clusters=2, totalSimilarities=90000, calculatedSimilarities=68792, minimumSimilarities=8022, time=246)
Result(algorithm=dbscan-100, size=300, topics=44, minScore=0.83, tp=8022, tn=81978, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=90000, calculatedSimilarities=90003, minimumSimilarities=8022, time=227)
Result(algorithm=dbscan-200, size=300, topics=44, minScore=0.83, tp=8022, tn=81978, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=90000, calculatedSimilarities=90002, minimumSimilarities=8022, time=249)
Result(algorithm=dbscan-50, size=300, topics=44, minScore=0.83, tp=7826, tn=81978, fp=0, fn=196, precision=1.0, recall=0.9755671902268761, clusters=2, totalSimilarities=90000, calculatedSimilarities=51278, minimumSimilarities=8022, time=233)
Result(algorithm=entropy-1, size=300, topics=44, minScore=0.83, tp=7594, tn=81978, fp=0, fn=428, precision=1.0, recall=0.9466467215158315, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, minimumSimilarities=8022, time=1)
Result(algorithm=entropy-2, size=300, topics=44, minScore=0.83, tp=3446, tn=81978, fp=0, fn=4576, precision=1.0, recall=0.4295686861131887, clusters=38, totalSimilarities=90000, calculatedSimilarities=6390, minimumSimilarities=8022, time=1)
Result(algorithm=entropy-3, size=300, topics=44, minScore=0.83, tp=2910, tn=81978, fp=0, fn=5112, precision=1.0, recall=0.36275243081525804, clusters=67, totalSimilarities=90000, calculatedSimilarities=4334, minimumSimilarities=8022, time=1)
Result(algorithm=gradient, size=300, topics=44, minScore=0.83, tp=6234, tn=81978, fp=0, fn=1788, precision=1.0, recall=0.7771129394166043, clusters=32, totalSimilarities=90000, calculatedSimilarities=16094, minimumSimilarities=8022, time=1)
Result(algorithm=hentropy-100, size=300, topics=44, minScore=0.83, tp=7594, tn=81978, fp=0, fn=428, precision=1.0, recall=0.9466467215158315, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, minimumSimilarities=8022, time=5)
Result(algorithm=hentropy-200, size=300, topics=44, minScore=0.83, tp=7594, tn=81978, fp=0, fn=428, precision=1.0, recall=0.9466467215158315, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, minimumSimilarities=8022, time=2)
Result(algorithm=hentropy-300, size=300, topics=44, minScore=0.83, tp=7594, tn=81978, fp=0, fn=428, precision=1.0, recall=0.9466467215158315, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, minimumSimilarities=8022, time=2)
Result(algorithm=kmeans-100, size=300, topics=44, minScore=0.83, tp=5922, tn=81978, fp=0, fn=2100, precision=1.0, recall=0.7382198952879581, clusters=44, totalSimilarities=90000, calculatedSimilarities=1326550, minimumSimilarities=8022, time=163)
Result(algorithm=kmeans-20, size=300, topics=44, minScore=0.83, tp=5816, tn=81978, fp=0, fn=2206, precision=1.0, recall=0.725006232859636, clusters=44, totalSimilarities=90000, calculatedSimilarities=270560, minimumSimilarities=8022, time=194)
Result(algorithm=kmeans-50, size=300, topics=44, minScore=0.83, tp=5860, tn=81978, fp=0, fn=2162, precision=1.0, recall=0.7304911493393169, clusters=44, totalSimilarities=90000, calculatedSimilarities=666586, minimumSimilarities=8022, time=228)
Result(algorithm=random, size=300, topics=44, minScore=0.83, tp=172, tn=81978, fp=0, fn=7850, precision=1.0, recall=0.02144103714784343, clusters=44, totalSimilarities=90000, calculatedSimilarities=2058, minimumSimilarities=8022, time=1)

400	Result(algorithm=dbscan-10, size=400, topics=44, minScore=0.83, tp=13762, tn=146232, fp=0, fn=6, precision=1.0, recall=0.9995642068564788, clusters=2, totalSimilarities=160000, calculatedSimilarities=128090, minimumSimilarities=13768, time=434)
Result(algorithm=dbscan-100, size=400, topics=44, minScore=0.83, tp=13768, tn=146232, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=160000, calculatedSimilarities=160004, minimumSimilarities=13768, time=488)
Result(algorithm=dbscan-200, size=400, topics=44, minScore=0.83, tp=13768, tn=146232, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=160000, calculatedSimilarities=160002, minimumSimilarities=13768, time=643)
Result(algorithm=dbscan-50, size=400, topics=44, minScore=0.83, tp=13446, tn=146232, fp=0, fn=322, precision=1.0, recall=0.9766124346310284, clusters=2, totalSimilarities=160000, calculatedSimilarities=92490, minimumSimilarities=13768, time=437)
Result(algorithm=entropy-1, size=400, topics=44, minScore=0.83, tp=12992, tn=146232, fp=0, fn=776, precision=1.0, recall=0.9436374201045904, clusters=10, totalSimilarities=160000, calculatedSimilarities=45236, minimumSimilarities=13768, time=1)
Result(algorithm=entropy-2, size=400, topics=44, minScore=0.83, tp=6144, tn=146232, fp=0, fn=7624, precision=1.0, recall=0.4462521789657176, clusters=43, totalSimilarities=160000, calculatedSimilarities=11496, minimumSimilarities=13768, time=1)
Result(algorithm=entropy-3, size=400, topics=44, minScore=0.83, tp=5084, tn=146232, fp=0, fn=8684, precision=1.0, recall=0.3692620569436374, clusters=75, totalSimilarities=160000, calculatedSimilarities=7610, minimumSimilarities=13768, time=1)
Result(algorithm=gradient, size=400, topics=44, minScore=0.83, tp=10894, tn=146232, fp=0, fn=2874, precision=1.0, recall=0.7912550842533411, clusters=38, totalSimilarities=160000, calculatedSimilarities=28200, minimumSimilarities=13768, time=2)
Result(algorithm=hentropy-100, size=400, topics=44, minScore=0.83, tp=12992, tn=146232, fp=0, fn=776, precision=1.0, recall=0.9436374201045904, clusters=10, totalSimilarities=160000, calculatedSimilarities=45236, minimumSimilarities=13768, time=2)
Result(algorithm=hentropy-200, size=400, topics=44, minScore=0.83, tp=12992, tn=146232, fp=0, fn=776, precision=1.0, recall=0.9436374201045904, clusters=10, totalSimilarities=160000, calculatedSimilarities=45236, minimumSimilarities=13768, time=2)
Result(algorithm=hentropy-300, size=400, topics=44, minScore=0.83, tp=12992, tn=146232, fp=0, fn=776, precision=1.0, recall=0.9436374201045904, clusters=10, totalSimilarities=160000, calculatedSimilarities=45236, minimumSimilarities=13768, time=2)
Result(algorithm=kmeans-100, size=400, topics=44, minScore=0.83, tp=10398, tn=146232, fp=0, fn=3370, precision=1.0, recall=0.7552295177222546, clusters=44, totalSimilarities=160000, calculatedSimilarities=1771956, minimumSimilarities=13768, time=365)
Result(algorithm=kmeans-20, size=400, topics=44, minScore=0.83, tp=10928, tn=146232, fp=0, fn=2840, precision=1.0, recall=0.7937245787332946, clusters=44, totalSimilarities=160000, calculatedSimilarities=363988, minimumSimilarities=13768, time=519)
Result(algorithm=kmeans-50, size=400, topics=44, minScore=0.83, tp=10374, tn=146232, fp=0, fn=3394, precision=1.0, recall=0.7534863451481697, clusters=44, totalSimilarities=160000, calculatedSimilarities=892018, minimumSimilarities=13768, time=284)
Result(algorithm=random, size=400, topics=44, minScore=0.83, tp=274, tn=146232, fp=0, fn=13494, precision=1.0, recall=0.01990122022080186, clusters=44, totalSimilarities=160000, calculatedSimilarities=3764, minimumSimilarities=13768, time=0)

500	Result(algorithm=dbscan-10, size=500, topics=44, minScore=0.83, tp=21356, tn=228636, fp=0, fn=8, precision=1.0, recall=0.9996255382887099, clusters=2, totalSimilarities=250000, calculatedSimilarities=205050, minimumSimilarities=21364, time=729)
Result(algorithm=dbscan-100, size=500, topics=44, minScore=0.83, tp=20768, tn=228636, fp=0, fn=596, precision=1.0, recall=0.9721026025088935, clusters=2, totalSimilarities=250000, calculatedSimilarities=143055, minimumSimilarities=21364, time=661)
Result(algorithm=dbscan-200, size=500, topics=44, minScore=0.83, tp=21364, tn=228636, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=250000, calculatedSimilarities=250003, minimumSimilarities=21364, time=679)
Result(algorithm=dbscan-50, size=500, topics=44, minScore=0.83, tp=20148, tn=228636, fp=0, fn=1216, precision=1.0, recall=0.9430818198839168, clusters=4, totalSimilarities=250000, calculatedSimilarities=68332, minimumSimilarities=21364, time=670)
Result(algorithm=entropy-1, size=500, topics=44, minScore=0.83, tp=20236, tn=228636, fp=0, fn=1128, precision=1.0, recall=0.9472008987081071, clusters=10, totalSimilarities=250000, calculatedSimilarities=72624, minimumSimilarities=21364, time=2)
Result(algorithm=entropy-2, size=500, topics=44, minScore=0.83, tp=9600, tn=228636, fp=0, fn=11764, precision=1.0, recall=0.4493540535480247, clusters=45, totalSimilarities=250000, calculatedSimilarities=18096, minimumSimilarities=21364, time=1)
Result(algorithm=entropy-3, size=500, topics=44, minScore=0.83, tp=7834, tn=228636, fp=0, fn=13530, precision=1.0, recall=0.3666916307807527, clusters=84, totalSimilarities=250000, calculatedSimilarities=11600, minimumSimilarities=21364, time=1)
Result(algorithm=gradient, size=500, topics=44, minScore=0.83, tp=16650, tn=228636, fp=0, fn=4714, precision=1.0, recall=0.7793484366223553, clusters=41, totalSimilarities=250000, calculatedSimilarities=44128, minimumSimilarities=21364, time=0)
Result(algorithm=hentropy-100, size=500, topics=44, minScore=0.83, tp=12508, tn=228636, fp=0, fn=8856, precision=1.0, recall=0.5854708856019472, clusters=13, totalSimilarities=250000, calculatedSimilarities=39070, minimumSimilarities=21364, time=4)
