Size	entropy1	entropy2	entropy3	hentropy	kmeans	gradient	
200	Result(algorithm=entropy1, size=200, topics=44, minScore=0.95, tp=1950, tn=38026, fp=0, fn=24, precision=1.0, recall=0.9878419452887538, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=1974, time=24)
Result(algorithm=entropy2, size=200, topics=44, minScore=0.95, tp=1056, tn=38026, fp=0, fn=918, precision=1.0, recall=0.5349544072948328, clusters=31, totalSimilarities=40000, calculatedSimilarities=2928, minimumSimilarities=1974, time=4)
Result(algorithm=entropy3, size=200, topics=44, minScore=0.95, tp=1028, tn=38026, fp=0, fn=946, precision=1.0, recall=0.5207700101317123, clusters=50, totalSimilarities=40000, calculatedSimilarities=2198, minimumSimilarities=1974, time=5)
Result(algorithm=hentropy, size=200, topics=44, minScore=0.95, tp=1950, tn=38026, fp=0, fn=24, precision=1.0, recall=0.9878419452887538, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=1974, time=7)
Result(algorithm=kmeans, size=200, topics=44, minScore=0.95, tp=1888, tn=38026, fp=0, fn=86, precision=1.0, recall=0.9564336372847011, clusters=44, totalSimilarities=40000, calculatedSimilarities=2722, minimumSimilarities=1974, time=173)
Result(algorithm=gradient, size=200, topics=44, minScore=0.95, tp=1872, tn=38026, fp=0, fn=102, precision=1.0, recall=0.9483282674772037, clusters=25, totalSimilarities=40000, calculatedSimilarities=7632, minimumSimilarities=1974, time=5)

300	Result(algorithm=entropy1, size=300, topics=44, minScore=0.95, tp=4126, tn=85786, fp=0, fn=88, precision=1.0, recall=0.9791172282866635, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, minimumSimilarities=4214, time=2)
Result(algorithm=entropy2, size=300, topics=44, minScore=0.95, tp=2236, tn=85786, fp=0, fn=1978, precision=1.0, recall=0.5306122448979592, clusters=38, totalSimilarities=90000, calculatedSimilarities=6390, minimumSimilarities=4214, time=1)
Result(algorithm=entropy3, size=300, topics=44, minScore=0.95, tp=2182, tn=85786, fp=0, fn=2032, precision=1.0, recall=0.517797816801139, clusters=67, totalSimilarities=90000, calculatedSimilarities=4334, minimumSimilarities=4214, time=1)
Result(algorithm=hentropy, size=300, topics=44, minScore=0.95, tp=2570, tn=85786, fp=0, fn=1644, precision=1.0, recall=0.6098718557190318, clusters=17, totalSimilarities=90000, calculatedSimilarities=14178, minimumSimilarities=4214, time=4)
Result(algorithm=kmeans, size=300, topics=44, minScore=0.95, tp=4052, tn=85786, fp=0, fn=162, precision=1.0, recall=0.9615567157095396, clusters=44, totalSimilarities=90000, calculatedSimilarities=6536, minimumSimilarities=4214, time=503)
Result(algorithm=gradient, size=300, topics=44, minScore=0.95, tp=3908, tn=85786, fp=0, fn=306, precision=1.0, recall=0.9273849074513526, clusters=32, totalSimilarities=90000, calculatedSimilarities=16094, minimumSimilarities=4214, time=1)

400	Result(algorithm=entropy1, size=400, topics=44, minScore=0.95, tp=7554, tn=152270, fp=0, fn=176, precision=1.0, recall=0.9772315653298835, clusters=10, totalSimilarities=160000, calculatedSimilarities=45236, minimumSimilarities=7730, time=1)
Result(algorithm=entropy2, size=400, topics=44, minScore=0.95, tp=4022, tn=152270, fp=0, fn=3708, precision=1.0, recall=0.5203104786545925, clusters=43, totalSimilarities=160000, calculatedSimilarities=11496, minimumSimilarities=7730, time=1)
Result(algorithm=entropy3, size=400, topics=44, minScore=0.95, tp=3882, tn=152270, fp=0, fn=3848, precision=1.0, recall=0.5021992238033636, clusters=75, totalSimilarities=160000, calculatedSimilarities=7610, minimumSimilarities=7730, time=1)
Result(algorithm=hentropy, size=400, topics=44, minScore=0.95, tp=4406, tn=152270, fp=0, fn=3324, precision=1.0, recall=0.569987063389392, clusters=28, totalSimilarities=160000, calculatedSimilarities=18466, minimumSimilarities=7730, time=2)
Result(algorithm=kmeans, size=400, topics=44, minScore=0.95, tp=7506, tn=152270, fp=0, fn=224, precision=1.0, recall=0.9710219922380336, clusters=44, totalSimilarities=160000, calculatedSimilarities=13236, minimumSimilarities=7730, time=263)
Result(algorithm=gradient, size=400, topics=44, minScore=0.95, tp=7194, tn=152270, fp=0, fn=536, precision=1.0, recall=0.9306597671410091, clusters=38, totalSimilarities=160000, calculatedSimilarities=28200, minimumSimilarities=7730, time=2)

500	Result(algorithm=entropy1, size=500, topics=44, minScore=0.95, tp=11180, tn=238556, fp=0, fn=264, precision=1.0, recall=0.976931142957008, clusters=10, totalSimilarities=250000, calculatedSimilarities=72624, minimumSimilarities=11444, time=1)
Result(algorithm=entropy2, size=500, topics=44, minScore=0.95, tp=6086, tn=238556, fp=0, fn=5358, precision=1.0, recall=0.5318070604683677, clusters=45, totalSimilarities=250000, calculatedSimilarities=18096, minimumSimilarities=11444, time=1)
Result(algorithm=entropy3, size=500, topics=44, minScore=0.95, tp=5876, tn=238556, fp=0, fn=5568, precision=1.0, recall=0.5134568332750786, clusters=84, totalSimilarities=250000, calculatedSimilarities=11600, minimumSimilarities=11444, time=1)
Result(algorithm=hentropy, size=500, topics=44, minScore=0.95, tp=6124, tn=238556, fp=0, fn=5320, precision=1.0, recall=0.5351275777700105, clusters=38, totalSimilarities=250000, calculatedSimilarities=18656, minimumSimilarities=11444, time=3)
Result(algorithm=kmeans, size=500, topics=44, minScore=0.95, tp=10892, tn=238556, fp=0, fn=552, precision=1.0, recall=0.9517651170919259, clusters=44, totalSimilarities=250000, calculatedSimilarities=20158, minimumSimilarities=11444, time=410)
Result(algorithm=gradient, size=500, topics=44, minScore=0.95, tp=10568, tn=238556, fp=0, fn=876, precision=1.0, recall=0.9234533379937085, clusters=41, totalSimilarities=250000, calculatedSimilarities=44128, minimumSimilarities=11444, time=0)

600	Result(algorithm=entropy1, size=600, topics=44, minScore=0.95, tp=16170, tn=343522, fp=0, fn=308, precision=1.0, recall=0.9813084112149533, clusters=12, totalSimilarities=360000, calculatedSimilarities=104648, minimumSimilarities=16478, time=1)
Result(algorithm=entropy2, size=600, topics=44, minScore=0.95, tp=8670, tn=343522, fp=0, fn=7808, precision=1.0, recall=0.5261560869037505, clusters=48, totalSimilarities=360000, calculatedSimilarities=26066, minimumSimilarities=16478, time=1)
Result(algorithm=entropy3, size=600, topics=44, minScore=0.95, tp=8326, tn=343522, fp=0, fn=8152, precision=1.0, recall=0.5052797669620099, clusters=94, totalSimilarities=360000, calculatedSimilarities=16336, minimumSimilarities=16478, time=2)
