Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	Result(algorithm=entropy1, size=200, topics=44, top=5, minScore=0.75, tp=837, tn=39064, fp=41, fn=58, precision=0.9533029612756264, recall=0.9351955307262569, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, time=27)
Result(algorithm=entropy2, size=200, topics=44, top=5, minScore=0.75, tp=588, tn=38893, fp=212, fn=307, precision=0.735, recall=0.6569832402234637, clusters=31, totalSimilarities=40000, calculatedSimilarities=2928, time=4)
Result(algorithm=entropy3, size=200, topics=44, top=5, minScore=0.75, tp=486, tn=38916, fp=189, fn=409, precision=0.72, recall=0.5430167597765363, clusters=50, totalSimilarities=40000, calculatedSimilarities=2198, time=3)
Result(algorithm=kmeans, size=200, topics=44, top=5, minScore=0.75, tp=712, tn=39047, fp=58, fn=183, precision=0.9246753246753247, recall=0.7955307262569833, clusters=44, totalSimilarities=40000, calculatedSimilarities=2536, time=100)
Result(algorithm=gradient, size=200, topics=44, top=5, minScore=0.75, tp=760, tn=39044, fp=61, fn=135, precision=0.925700365408039, recall=0.8491620111731844, clusters=25, totalSimilarities=40000, calculatedSimilarities=7632, time=4)

300	Result(algorithm=entropy1, size=300, topics=44, top=5, minScore=0.75, tp=1284, tn=88562, fp=72, fn=82, precision=0.9469026548672567, recall=0.9399707174231332, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, time=2)
Result(algorithm=entropy2, size=300, topics=44, top=5, minScore=0.75, tp=937, tn=88313, fp=321, fn=429, precision=0.7448330683624801, recall=0.6859443631039531, clusters=38, totalSimilarities=90000, calculatedSimilarities=6390, time=1)
Result(algorithm=entropy3, size=300, topics=44, top=5, minScore=0.75, tp=794, tn=88345, fp=289, fn=572, precision=0.7331486611265005, recall=0.5812591508052709, clusters=67, totalSimilarities=90000, calculatedSimilarities=4334, time=2)
Result(algorithm=kmeans, size=300, topics=44, top=5, minScore=0.75, tp=1169, tn=88502, fp=132, fn=197, precision=0.8985395849346657, recall=0.8557833089311859, clusters=44, totalSimilarities=90000, calculatedSimilarities=6500, time=177)
Result(algorithm=gradient, size=300, topics=44, top=5, minScore=0.75, tp=1189, tn=88565, fp=69, fn=177, precision=0.9451510333863276, recall=0.8704245973645681, clusters=32, totalSimilarities=90000, calculatedSimilarities=16094, time=1)

400	Result(algorithm=entropy1, size=400, topics=44, top=5, minScore=0.75, tp=1740, tn=158081, fp=85, fn=94, precision=0.9534246575342465, recall=0.9487459105779716, clusters=10, totalSimilarities=160000, calculatedSimilarities=45236, time=1)
Result(algorithm=entropy2, size=400, topics=44, top=5, minScore=0.75, tp=1286, tn=157724, fp=442, fn=548, precision=0.7442129629629629, recall=0.7011995637949836, clusters=43, totalSimilarities=160000, calculatedSimilarities=11496, time=1)
