Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	Result(algorithm=CRDC, size=200, topics=44, minScore=0.83, tp=2546, tn=36362, fp=858, fn=234, precision=0.7479435957696827, recall=0.9158273381294963, clusters=44, totalSimilarities=40000, calculatedSimilarities=3604, minimumSimilarities=2780, time=38)
Result(algorithm=DBSCAN, size=200, topics=44, minScore=0.83, tp=2780, tn=200, fp=37020, fn=0, precision=0.06984924623115578, recall=1.0, clusters=1, totalSimilarities=40000, calculatedSimilarities=40004, minimumSimilarities=2780, time=27)
Result(algorithm=K-Means, size=200, topics=44, minScore=0.83, tp=2186, tn=36790, fp=430, fn=594, precision=0.8356269113149847, recall=0.7863309352517985, clusters=44, totalSimilarities=40000, calculatedSimilarities=442816, minimumSimilarities=2780, time=34)
Result(algorithm=RDC, size=200, topics=44, minScore=0.83, tp=2678, tn=28378, fp=8842, fn=102, precision=0.23246527777777778, recall=0.9633093525179857, clusters=7, totalSimilarities=40000, calculatedSimilarities=11720, minimumSimilarities=2780, time=10)
Result(algorithm=Random, size=200, topics=44, minScore=0.83, tp=56, tn=36534, fp=686, fn=2724, precision=0.07547169811320754, recall=0.02014388489208633, clusters=44, totalSimilarities=40000, calculatedSimilarities=942, minimumSimilarities=2780, time=2)
Result(algorithm=TDC, size=200, topics=44, minScore=0.83, tp=2430, tn=32218, fp=5002, fn=350, precision=0.32696447793326155, recall=0.8741007194244604, clusters=25, totalSimilarities=40000, calculatedSimilarities=7632, minimumSimilarities=2780, time=6)

300	Result(algorithm=CRDC, size=300, topics=44, minScore=0.83, tp=5408, tn=82166, fp=1894, fn=532, precision=0.7406190084908244, recall=0.9104377104377105, clusters=56, totalSimilarities=90000, calculatedSimilarities=7602, minimumSimilarities=5940, time=4)
Result(algorithm=DBSCAN, size=300, topics=44, minScore=0.83, tp=5298, tn=26608, fp=57452, fn=642, precision=0.08443027888446215, recall=0.8919191919191919, clusters=2, totalSimilarities=90000, calculatedSimilarities=63056, minimumSimilarities=5940, time=42)
Result(algorithm=K-Means, size=300, topics=44, minScore=0.83, tp=5006, tn=83046, fp=1014, fn=934, precision=0.8315614617940199, recall=0.8427609427609427, clusters=44, totalSimilarities=90000, calculatedSimilarities=666320, minimumSimilarities=5940, time=117)
Result(algorithm=RDC, size=300, topics=44, minScore=0.83, tp=5694, tn=64526, fp=19534, fn=246, precision=0.2257016013952751, recall=0.9585858585858585, clusters=9, totalSimilarities=90000, calculatedSimilarities=25528, minimumSimilarities=5940, time=3)
