Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	Result(algorithm=CRDC, size=200, topics=4, minScore=0.66, tp=1264, tn=33890, fp=30, fn=4816, precision=0.9768160741885626, recall=0.20789473684210527, clusters=43, totalSimilarities=40000, calculatedSimilarities=1494, minimumSimilarities=6080, time=17)
Result(algorithm=DBSCAN, size=200, topics=4, minScore=0.66, tp=6080, tn=200, fp=33720, fn=0, precision=0.1527638190954774, recall=1.0, clusters=1, totalSimilarities=40000, calculatedSimilarities=40004, minimumSimilarities=6080, time=20)
Result(algorithm=K-Means, size=200, topics=4, minScore=0.66, tp=5186, tn=29160, fp=4760, fn=894, precision=0.5214156444801931, recall=0.8529605263157894, clusters=4, totalSimilarities=40000, calculatedSimilarities=50146, minimumSimilarities=6080, time=10)
Result(algorithm=RDC, size=200, topics=4, minScore=0.66, tp=5152, tn=29122, fp=4798, fn=928, precision=0.5177889447236181, recall=0.8473684210526315, clusters=4, totalSimilarities=40000, calculatedSimilarities=10150, minimumSimilarities=6080, time=6)
Result(algorithm=Random, size=200, topics=4, minScore=0.66, tp=98, tn=33280, fp=640, fn=5982, precision=0.13279132791327913, recall=0.01611842105263158, clusters=44, totalSimilarities=40000, calculatedSimilarities=938, minimumSimilarities=6080, time=3)
Result(algorithm=TDC, size=200, topics=4, minScore=0.66, tp=4046, tn=15894, fp=18026, fn=2034, precision=0.1833091699891265, recall=0.6654605263157894, clusters=7, totalSimilarities=40000, calculatedSimilarities=22272, minimumSimilarities=6080, time=4)

300	Result(algorithm=CRDC, size=300, topics=4, minScore=0.66, tp=2776, tn=76092, fp=118, fn=11014, precision=0.95922598479613, recall=0.2013052936910805, clusters=46, totalSimilarities=90000, calculatedSimilarities=3194, minimumSimilarities=13790, time=3)
Result(algorithm=DBSCAN, size=300, topics=4, minScore=0.66, tp=12652, tn=27600, fp=48610, fn=1138, precision=0.2065228036956025, recall=0.9174764321972444, clusters=2, totalSimilarities=90000, calculatedSimilarities=61568, minimumSimilarities=13790, time=25)
Result(algorithm=K-Means, size=300, topics=4, minScore=0.66, tp=11712, tn=65524, fp=10686, fn=2078, precision=0.5229038306991696, recall=0.8493110949963741, clusters=4, totalSimilarities=90000, calculatedSimilarities=82698, minimumSimilarities=13790, time=3)
Result(algorithm=RDC, size=300, topics=4, minScore=0.66, tp=11582, tn=64890, fp=11320, fn=2208, precision=0.5057200244520129, recall=0.8398839738941262, clusters=4, totalSimilarities=90000, calculatedSimilarities=23202, minimumSimilarities=13790, time=2)
Result(algorithm=Random, size=300, topics=4, minScore=0.66, tp=228, tn=74678, fp=1532, fn=13562, precision=0.12954545454545455, recall=0.01653372008701958, clusters=44, totalSimilarities=90000, calculatedSimilarities=2060, minimumSimilarities=13790, time=0)
Result(algorithm=TDC, size=300, topics=4, minScore=0.66, tp=9228, tn=34588, fp=41622, fn=4562, precision=0.1814749262536873, recall=0.6691805656272661, clusters=7, totalSimilarities=90000, calculatedSimilarities=51150, minimumSimilarities=13790, time=0)

400	Result(algorithm=CRDC, size=400, topics=4, minScore=0.66, tp=4880, tn=135238, fp=266, fn=19616, precision=0.948309366498251, recall=0.1992161985630307, clusters=46, totalSimilarities=160000, calculatedSimilarities=5546, minimumSimilarities=24496, time=1)
Result(algorithm=DBSCAN, size=400, topics=4, minScore=0.66, tp=20146, tn=109834, fp=25670, fn=4350, precision=0.4397153832722193, recall=0.8224199869366428, clusters=4, totalSimilarities=160000, calculatedSimilarities=46224, minimumSimilarities=24496, time=43)
Result(algorithm=K-Means, size=400, topics=4, minScore=0.66, tp=20996, tn=116622, fp=18882, fn=3500, precision=0.5265058428206029, recall=0.8571195297191379, clusters=4, totalSimilarities=160000, calculatedSimilarities=120278, minimumSimilarities=24496, time=5)
Result(algorithm=RDC, size=400, topics=4, minScore=0.66, tp=20826, tn=116100, fp=19404, fn=3670, precision=0.5176733780760626, recall=0.8501796211626388, clusters=4, totalSimilarities=160000, calculatedSimilarities=40630, minimumSimilarities=24496, time=2)
