Score	Num
0.04	30
0.05	17648
0.06	32822
0.07	34458
0.08	34110
0.09	34994
0.10	34604
0.11	32368
0.12	29384
0.13	26390
0.14	24536
0.15	22592
0.16	21380
0.17	19628
0.18	18820
0.19	16660
0.20	15912
0.21	15498
0.22	14424
0.23	14074
0.24	13836
0.25	13546
0.26	12838
0.27	12628
0.28	12028
0.29	11980
0.30	11768
0.31	11678
0.32	11342
0.33	11326
0.34	10778
0.35	10924
0.36	10636
0.37	10652
0.38	10442
0.39	10136
0.40	10048
0.41	10040
0.42	9720
0.43	9388
0.44	9208
0.45	8974
0.46	8634
0.47	8518
0.48	8188
0.49	7962
0.50	7938
0.51	7746
0.52	7496
0.53	7294
0.54	7290
0.55	7076
0.56	6652
0.57	6602
0.58	6440
0.59	6352
0.60	6402
0.61	5894
0.62	5904
0.63	6008
0.64	5592
0.65	5350
0.66	5558
0.67	5248
0.68	5196
0.69	5150
0.70	4962
0.71	5208
0.72	4784
0.73	4862
0.74	4858
0.75	4740
0.76	4708
0.77	4810
0.78	4862
0.79	4698
0.80	4740
0.81	4494
0.82	4782
0.83	4810
0.84	4724
0.85	4724
0.86	4840
0.87	4764
0.88	4702
0.89	4560
0.90	4572
0.91	4538
0.92	4256
0.93	4224
0.94	3956
0.95	3692
0.96	3572
0.97	3288
0.98	2916
0.99	2758
1.00	858
