Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	Result(algorithm=CRDC, size=200, topics=44, minScore=0.34, tp=0, tn=24514, fp=0, fn=15486, precision=0.0, recall=0.0, clusters=200, totalSimilarities=40000, calculatedSimilarities=200, minimumSimilarities=15486, time=26)
Result(algorithm=DBSCAN, size=200, topics=44, minScore=0.34, tp=15486, tn=200, fp=24314, fn=0, precision=0.3890954773869347, recall=1.0, clusters=1, totalSimilarities=40000, calculatedSimilarities=40004, minimumSimilarities=15486, time=28)
Result(algorithm=K-Means, size=200, topics=44, minScore=0.34, tp=788, tn=24280, fp=234, fn=14698, precision=0.7710371819960861, recall=0.050884670024538295, clusters=44, totalSimilarities=40000, calculatedSimilarities=441222, minimumSimilarities=15486, time=28)
Result(algorithm=RDC, size=200, topics=44, minScore=0.34, tp=572, tn=24244, fp=270, fn=14914, precision=0.6793349168646081, recall=0.036936587885832366, clusters=44, totalSimilarities=40000, calculatedSimilarities=1042, minimumSimilarities=15486, time=10)
Result(algorithm=Random, size=200, topics=44, minScore=0.34, tp=262, tn=24030, fp=484, fn=15224, precision=0.3512064343163539, recall=0.016918507038615523, clusters=44, totalSimilarities=40000, calculatedSimilarities=946, minimumSimilarities=15486, time=3)
Result(algorithm=TDC, size=200, topics=44, minScore=0.34, tp=7560, tn=13814, fp=10700, fn=7926, precision=0.4140197152245345, recall=0.48818287485470746, clusters=17, totalSimilarities=40000, calculatedSimilarities=18460, minimumSimilarities=15486, time=7)

300	Result(algorithm=CRDC, size=300, topics=44, minScore=0.34, tp=0, tn=55200, fp=0, fn=34800, precision=0.0, recall=0.0, clusters=300, totalSimilarities=90000, calculatedSimilarities=300, minimumSimilarities=34800, time=5)
Result(algorithm=DBSCAN, size=300, topics=44, minScore=0.34, tp=34800, tn=300, fp=54900, fn=0, precision=0.3879598662207358, recall=1.0, clusters=1, totalSimilarities=90000, calculatedSimilarities=90006, minimumSimilarities=34800, time=38)
Result(algorithm=K-Means, size=300, topics=44, minScore=0.34, tp=1664, tn=54756, fp=444, fn=33136, precision=0.7893738140417458, recall=0.04781609195402299, clusters=44, totalSimilarities=90000, calculatedSimilarities=662408, minimumSimilarities=34800, time=28)
Result(algorithm=RDC, size=300, topics=44, minScore=0.34, tp=1370, tn=54582, fp=618, fn=33430, precision=0.6891348088531187, recall=0.03936781609195402, clusters=44, totalSimilarities=90000, calculatedSimilarities=2288, minimumSimilarities=34800, time=3)
Result(algorithm=Random, size=300, topics=44, minScore=0.34, tp=728, tn=54166, fp=1034, fn=34072, precision=0.41316685584562995, recall=0.020919540229885056, clusters=44, totalSimilarities=90000, calculatedSimilarities=2062, minimumSimilarities=34800, time=0)
Result(algorithm=TDC, size=300, topics=44, minScore=0.34, tp=17774, tn=30248, fp=24952, fn=17026, precision=0.4159996255207602, recall=0.5107471264367817, clusters=17, totalSimilarities=90000, calculatedSimilarities=43026, minimumSimilarities=34800, time=2)

400	Result(algorithm=CRDC, size=400, topics=44, minScore=0.34, tp=0, tn=96542, fp=0, fn=63458, precision=0.0, recall=0.0, clusters=400, totalSimilarities=160000, calculatedSimilarities=400, minimumSimilarities=63458, time=3)
Result(algorithm=DBSCAN, size=400, topics=44, minScore=0.34, tp=63458, tn=400, fp=96142, fn=0, precision=0.3976065162907268, recall=1.0, clusters=1, totalSimilarities=160000, calculatedSimilarities=160008, minimumSimilarities=63458, time=73)
Result(algorithm=K-Means, size=400, topics=44, minScore=0.34, tp=3070, tn=95716, fp=826, fn=60388, precision=0.7879876796714579, recall=0.048378455041129566, clusters=44, totalSimilarities=160000, calculatedSimilarities=884296, minimumSimilarities=63458, time=49)
Result(algorithm=RDC, size=400, topics=44, minScore=0.34, tp=2466, tn=95446, fp=1096, fn=60992, precision=0.6923076923076923, recall=0.038860348577011566, clusters=44, totalSimilarities=160000, calculatedSimilarities=3962, minimumSimilarities=63458, time=3)
